Word,AoALikert,Frequency
Spaten,2.6,0.0005107980870188494
Spatz,2.55,0.00115667906153653
Spaß,1.93,0.04407786572186753
Specht,2.65,0.0008105667882536145
Spiegel,2.0,0.01694992703810648
Spiel,1.73,0.1710279020488374
Spinat,2.15,0.0008420336453175348
Spinne,2.075,0.001630186954808916
Sport,2.89,0.043680593757133006
Spritze,2.71,0.0014183355871074152
Sprung,2.44,0.010684074653740697
Spüle,2.76,0.00019069980484065382
Spülung,2.72,0.00035720324056298766
Stachelbeere,2.8,0.00013081089697028578
Stamm,2.83,0.004971531871897337
Start,2.68,0.03829693635993713
Staub,2.57,0.00399516785773776
Stein,1.58,0.021348375432622975
Stelle,2.81,0.06341493244304279
Stempel,2.5,0.002297346841498593
Stern,1.88,0.018440284449273737
Stich,2.31,0.003796340851403776
Stiefel,2.11,0.0020423587889478764
Stopp,1.86,0.0021389127212190673
Storch,2.25,0.001889898509082252
Strand,2.68,0.010113584471423255
Straße,1.96,0.12422533992888536
Streich,2.8,0.001739498972615221
Strickjacke,2.85,0.0003381587299411521
Strumpf,1.99,0.0007798292954262749
Stube,2.76,0.0014847077326362802
Stufe,2.0,0.009148774512947929
Stuhl,1.645,0.007360002934128129
Stunde,2.63,0.09797650511719633
Sturm,2.59,0.012646898009270937
Sturz,2.1,0.005946599238525214
Suppe,2.0,0.0033101674902771116
Säge,2.63,0.0009207470968177538
Sänger,2.7,0.015279451392134045
Süßkirsche,3.0,7.741680396851944e-05
Tablett,2.88,0.000551318322384457
Tablette,2.47,0.004031230867213151
Tafel,2.71,0.006872567657100079
Tag,1.8,0.2891029533046197
Tanne,2.33,0.0012118328904741744
Tante,1.9,0.0035021523654393603
Tanz,2.33,0.014162262194263826
Tanzen,2.65,0.003479611537365978
Tapete,3.0,0.001107776926055294
Tasche,1.65,0.013579037080831479
Taschentuch,1.96,0.0006433108338744907
Tasse,1.88,0.003704336762703638
Taste,3.0,0.003013327823198775
Taube,2.305,0.0025970345022626267
Teddy,1.65,0.000905303098538405
